F254,F1056,F1057,F1148,F1032,F1034,F1101,F64,F65,F67,F253,F1036,F1079,F1100,F1765,expire_date,isexpired,,
9/29/2024,450,2,44000351300,200051,7701,0,15,0,0,32:46.1,153135,4058176625,0,NULL,NULL,NULL,,
10/20/2024,450,23,44000351300,172570,7701,0,17,0,0,58:33.4,125617,4069616481,0,NULL,NULL,NULL,,
10/31/2024,999,901,44000351300,0,7701,0,-15,0,0,04:52.6,0,expired,NULL,NULL,NULL,NULL,,
11/30/2024,999,901,44000351300,0,7701,0,-17,0,0,00:46.5,0,expired,NULL,NULL,NULL,NULL,,
12/3/2024,450,10,44000351300,244958,7701,0,34,0,0,02:41.7,135924,4054101473,0,NULL,NULL,NULL,,
12/13/2024,450,10,44000351300,246414,7701,0,30,0,0,17:12.0,131452,4054189857,0,NULL,NULL,NULL,,
12/20/2024,450,10,44000351300,247295,7701,0,33,0,0,42:56.9,93927,4054279729,0,NULL,NULL,NULL,,
12/20/2024,450,10,44000351300,247295,7801,0,50,0,0,42:56.9,93927,4054279729,0,NULL,NULL,NULL,,
1/3/2025,450,10,44000351300,248938,7701,0,33,0,0,44:11.8,84008,4054371041,0,NULL,NULL,NULL,,
1/6/2025,450,21,44000351300,168740,7701,0,23,0,0,07:36.0,130634,4069210721,0,NULL,NULL,NULL,,
1/8/2025,450,10,44000351300,249718,7701,0,23,0,0,37:54.2,183339,4054396385,0,NULL,NULL,NULL,,
1/8/2025,450,10,44000351300,249718,7801,0,100,0,0,37:54.4,183339,4054396385,0,NULL,NULL,NULL,,
1/13/2025,450,10,44000351300,250122,7701,0,27,0,0,24:50.4,162134,4054873409,0,NULL,NULL,NULL,,
1/13/2025,450,22,44000351300,267027,7701,0,85,0,0,44:08.2,164039,4051977489,0,NULL,NULL,NULL,,
1/17/2025,450,10,44000351300,250539,7701,0,26,0,0,03:25.6,130139,4054857969,0,NULL,NULL,NULL,,
1/17/2025,450,10,44000351300,250539,7801,0,150,0,0,03:25.8,130139,4054857969,0,NULL,NULL,NULL,,
1/21/2025,450,10,44000351300,250931,7701,0,0,0,0,10:16.0,90759,4054908017,0,NULL,NULL,NULL,,
1/21/2025,450,10,44000351300,250932,7701,0,26,0,0,15:45.8,91338,4054907969,0,NULL,NULL,NULL,,
1/29/2025,450,10,44000351300,251864,7701,0,19,0,0,05:02.3,210233,4054970657,0,NULL,NULL,NULL,,
2/1/2025,450,10,44000351300,252123,7701,0,25,0,0,31:59.8,72913,4055000657,0,NULL,NULL,NULL,,
2/4/2025,450,10,44000351300,252433,7701,0,34,0,0,30:22.8,92800,4054989393,0,NULL,NULL,NULL,,
2/5/2025,450,10,44000351300,252624,7701,0,31,0,0,43:16.6,204043,4054981153,0,NULL,NULL,NULL,,
2/5/2025,450,10,44000351300,252624,7801,0,100,0,0,43:16.7,204043,4054981153,0,NULL,NULL,NULL,,
2/8/2025,450,21,44000351300,172460,7701,0,12,0,0,03:58.9,100316,4069600097,0,NULL,NULL,NULL,,
2/10/2025,450,10,44000351300,253182,7701,0,34,0,0,06:56.8,200401,4055079745,0,NULL,NULL,NULL,,
2/10/2025,450,10,44000351300,253182,7801,0,50,0,0,06:57.0,200401,4055079745,0,NULL,NULL,NULL,,
2/15/2025,450,10,44000351300,253592,7701,0,11,0,0,38:46.2,63716,4055097153,0,NULL,NULL,NULL,,
2/15/2025,450,10,44000351300,253592,7801,0,50,0,0,38:46.3,63716,4055097153,0,NULL,NULL,NULL,,
2/17/2025,450,10,44000351300,253863,7701,0,34,0,0,18:46.5,171557,4055040593,0,NULL,NULL,NULL,,
3/4/2025,450,10,44000351300,255316,7701,0,34,0,0,34:19.1,93037,4055213057,0,NULL,NULL,NULL,,
3/4/2025,450,10,44000351300,255316,7801,0,50,0,0,34:19.2,93037,4055213057,0,NULL,NULL,NULL,,
3/6/2025,450,10,44000351300,255538,7701,0,36,0,0,34:45.5,133227,4055222497,0,NULL,NULL,NULL,,
3/11/2025,450,10,44000351300,256015,7701,0,31,0,0,35:11.7,93200,4055277361,0,NULL,NULL,NULL,,
3/11/2025,450,10,44000351300,256015,7801,0,50,0,0,35:11.8,93200,4055277361,0,NULL,NULL,NULL,,
3/16/2025,450,10,44000351300,256586,7701,0,33,0,0,05:23.8,210244,4055300353,0,NULL,NULL,NULL,,
3/16/2025,450,10,44000351300,256586,7801,0,50,0,0,05:23.9,210244,4055300353,0,NULL,NULL,NULL,,
4/3/2025,450,10,44000351300,258630,7701,0,25,0,0,06:32.3,210430,4055422049,0,NULL,NULL,NULL,,
4/25/2025,450,10,44000351300,261196,7701,0,36,0,0,07:42.5,130457,4051816449,0,NULL,NULL,NULL,,
4/25/2025,450,10,44000351300,261196,7801,0,50,0,0,07:42.7,130457,4051816449,0,NULL,NULL,NULL,,
5/28/2025,450,10,44000351300,264785,7701,0,38,0,0,11:17.0,210758,4051996721,0,NULL,NULL,NULL,,1473
5/31/2025,999,901,44000351300,0,7701,0,-11,0,0,02:09.3,0,expired,NULL,NULL,NULL,NULL,,
5/31/2025,999,901,44000351300,0,7701,0,-11,0,0,00:03.4,0,expired,NULL,NULL,NULL,NULL,,750
5/31/2025,999,901,44000351300,0,7701,0,-11,0,0,00:03.4,0,expired,NULL,NULL,NULL,NULL,,723
6/1/2025,450,10,44000351300,265137,7701,0,13,0,0,22:47.4,152008,4052090641,0,NULL,NULL,NULL,,
6/1/2025,450,10,44000351300,265137,7801,0,50,0,0,22:47.5,152008,4052090641,0,NULL,NULL,NULL,,
6/4/2025,450,10,44000351300,265482,7701,0,29,0,0,50:56.7,204834,4052072769,0,NULL,NULL,NULL,,
6/13/2025,450,10,44000351300,266441,7701,0,35,0,0,29:36.4,132715,4052139121,0,NULL,NULL,NULL,,
